program,n_rotations,delta,tvd,detected
qpeinexact_5,10,0.3,0.292511,1
qpeinexact_5,10,0.5,0.391876,1
qpeinexact_6,15,0.0,0.0,0
qpeinexact_6,15,0.01,0.016876,0
qpeinexact_6,15,0.02,0.034241,0
qpeinexact_6,15,0.03,0.050934,0
qpeinexact_6,15,0.05,0.08252,1
qpeinexact_6,15,0.07,0.116974,1
qpeinexact_6,15,0.1,0.164001,1
qpeinexact_6,15,0.15,0.239838,1
qpeinexact_6,15,0.2,0.30899,1
qpeinexact_6,15,0.3,0.427216,1
qpeinexact_6,15,0.5,0.789246,1
qpeinexact_8,28,0.0,0.0,0
qpeinexact_8,28,0.01,0.02124,0
qpeinexact_8,28,0.02,0.04007,1
qpeinexact_8,28,0.03,0.058777,1
qpeinexact_8,28,0.05,0.094482,1
qpeinexact_8,28,0.07,0.133881,1
qpeinexact_8,28,0.1,0.192719,1
qpeinexact_8,28,0.15,0.342163,1
qpeinexact_8,28,0.2,0.520569,1
qpeinexact_8,28,0.3,0.804596,1
qpeinexact_8,28,0.5,0.967773,1
qwalk_10,144,0.0,0.0,0
qwalk_10,144,0.01,0.013611,1
qwalk_10,144,0.02,0.055237,1
qwalk_10,144,0.03,0.120789,1
qwalk_10,144,0.05,0.303406,1
qwalk_10,144,0.07,0.514801,1
qwalk_10,144,0.1,0.779724,1
qwalk_10,144,0.15,0.843842,1
qwalk_10,144,0.2,0.799805,1
qwalk_10,144,0.3,0.863312,1
qwalk_10,144,0.5,0.828796,1
qwalk_12,144,0.0,0.0,0
qwalk_12,144,0.01,0.013611,1
qwalk_12,144,0.02,0.055237,1
qwalk_12,144,0.03,0.120789,1
qwalk_12,144,0.05,0.303406,1
qwalk_12,144,0.07,0.514801,1
qwalk_12,144,0.1,0.779724,1
qwalk_12,144,0.15,0.843842,1
qwalk_12,144,0.2,0.799805,1
qwalk_12,144,0.3,0.863312,1
qwalk_12,144,0.5,0.828796,1
qwalk_3,42,0.0,0.0,0
qwalk_3,42,0.01,0.001648,1
qwalk_3,42,0.02,0.005646,1
qwalk_3,42,0.03,0.014038,1
qwalk_3,42,0.05,0.03952,1
qwalk_3,42,0.07,0.077362,1
qwalk_3,42,0.1,0.150818,1
qwalk_3,42,0.15,0.319794,1
qwalk_3,42,0.2,0.51236,1
qwalk_3,42,0.3,0.870117,1
qwalk_3,42,0.5,0.827301,1
qwalk_4,90,0.0,0.0,0
qwalk_4,90,0.01,0.002747,0
qwalk_4,90,0.02,0.011505,1
qwalk_4,90,0.03,0.025604,1
qwalk_4,90,0.05,0.06723,1
qwalk_4,90,0.07,0.130585,1
qwalk_4,90,0.1,0.2435,1
qwalk_4,90,0.15,0.45697,1
qwalk_4,90,0.2,0.639099,1
qwalk_4,90,0.3,0.770233,1
qwalk_4,90,0.5,0.768341,1
qwalk_5,144,0.0,0.0,0
qwalk_5,144,0.01,0.01889,1
qwalk_5,144,0.02,0.073547,1
qwalk_5,144,0.03,0.160217,1
qwalk_5,144,0.05,0.387512,1
qwalk_5,144,0.07,0.63266,1
qwalk_5,144,0.1,0.885315,1
qwalk_5,144,0.15,0.835724,1
qwalk_5,144,0.2,0.768585,1
qwalk_5,144,0.3,0.849915,1
qwalk_5,144,0.5,0.648895,1
qwalk_6,144,0.0,0.0,0
qwalk_6,144,0.01,0.013611,1
qwalk_6,144,0.02,0.055237,1
qwalk_6,144,0.03,0.120789,1
qwalk_6,144,0.05,0.303406,1
qwalk_6,144,0.07,0.514801,1
qwalk_6,144,0.1,0.779724,1
qwalk_6,144,0.15,0.843842,1
qwalk_6,144,0.2,0.799805,1
qwalk_6,144,0.3,0.863312,1
qwalk_6,144,0.5,0.828796,1
qwalk_8,144,0.0,0.0,0
qwalk_8,144,0.01,0.013611,1
qwalk_8,144,0.02,0.055237,1
qwalk_8,144,0.03,0.120789,1
qwalk_8,144,0.05,0.303406,1
qwalk_8,144,0.07,0.514801,1
qwalk_8,144,0.1,0.779724,1
qwalk_8,144,0.15,0.843842,1
qwalk_8,144,0.2,0.799805,1
qwalk_8,144,0.3,0.863312,1
qwalk_8,144,0.5,0.828796,1
randomcircuit_10,7,0.0,0.0,0
randomcircuit_10,7,0.01,0.011566,0
randomcircuit_10,7,0.02,0.018494,0
randomcircuit_10,7,0.03,0.026001,0
randomcircuit_10,7,0.05,0.040283,0
randomcircuit_10,7,0.07,0.054657,0
randomcircuit_10,7,0.1,0.074951,1
randomcircuit_10,7,0.15,0.107574,1
randomcircuit_10,7,0.2,0.14328,1
randomcircuit_10,7,0.3,0.205475,1
randomcircuit_10,7,0.5,0.31192,1
randomcircuit_12,9,0.0,0.0,0
randomcircuit_12,9,0.01,0.082611,0
randomcircuit_12,9,0.02,0.094788,0
randomcircuit_12,9,0.03,0.103302,0
randomcircuit_12,9,0.05,0.113647,1
randomcircuit_12,9,0.07,0.123383,1
randomcircuit_12,9,0.1,0.134796,1
randomcircuit_12,9,0.15,0.146942,1
randomcircuit_12,9,0.2,0.165863,1
randomcircuit_12,9,0.3,0.201172,1
randomcircuit_12,9,0.5,0.285065,1
randomcircuit_2,3,0.0,0.0,0
randomcircuit_2,3,0.01,0.002106,0
randomcircuit_2,3,0.02,0.004364,0
randomcircuit_2,3,0.03,0.006653,0
randomcircuit_2,3,0.05,0.010345,1
randomcircuit_2,3,0.07,0.014252,1
randomcircuit_2,3,0.1,0.019867,1
randomcircuit_2,3,0.15,0.028381,1
randomcircuit_2,3,0.2,0.036041,1
randomcircuit_2,3,0.3,0.046295,1
randomcircuit_2,3,0.5,0.080322,1
randomcircuit_3,2,0.0,0.0,0
randomcircuit_3,2,0.01,0.0,0
randomcircuit_3,2,0.02,0.0,0
randomcircuit_3,2,0.03,0.0,0
randomcircuit_3,2,0.05,0.0,0
randomcircuit_3,2,0.07,0.0,0
randomcircuit_3,2,0.1,0.0,0
randomcircuit_3,2,0.15,0.0,0
randomcircuit_3,2,0.2,0.0,0
randomcircuit_3,2,0.3,0.0,0
randomcircuit_3,2,0.5,0.0,0
randomcircuit_4,16,0.0,0.0,0
randomcircuit_4,16,0.01,0.021118,1
randomcircuit_4,16,0.02,0.044189,1
randomcircuit_4,16,0.03,0.069031,1
randomcircuit_4,16,0.05,0.124969,1
randomcircuit_4,16,0.07,0.187988,1
randomcircuit_4,16,0.1,0.291046,1
randomcircuit_4,16,0.15,0.478607,1
randomcircuit_4,16,0.2,0.651794,1
randomcircuit_4,16,0.3,0.862854,1
randomcircuit_4,16,0.5,0.487213,1
randomcircuit_5,3,0.0,0.0,0
randomcircuit_5,3,0.01,0.0,0
randomcircuit_5,3,0.02,0.0,0
randomcircuit_5,3,0.03,0.0,0
randomcircuit_5,3,0.05,0.0,0
randomcircuit_5,3,0.07,0.0,0
randomcircuit_5,3,0.1,0.0,0
randomcircuit_5,3,0.15,0.0,0
randomcircuit_5,3,0.2,0.0,0
randomcircuit_5,3,0.3,0.0,0
randomcircuit_5,3,0.5,0.0,0
randomcircuit_6,3,0.0,0.0,0
randomcircuit_6,3,0.01,0.0,0
randomcircuit_6,3,0.02,0.0,0
randomcircuit_6,3,0.03,0.0,0
randomcircuit_6,3,0.05,0.0,0
randomcircuit_6,3,0.07,0.0,0
randomcircuit_6,3,0.1,0.0,0
randomcircuit_6,3,0.15,0.0,0
randomcircuit_6,3,0.2,0.0,0
randomcircuit_6,3,0.3,0.0,0
randomcircuit_6,3,0.5,0.0,0
randomcircuit_8,4,0.0,0.0,0
randomcircuit_8,4,0.01,0.004211,0
randomcircuit_8,4,0.02,0.008209,0
randomcircuit_8,4,0.03,0.011719,0
randomcircuit_8,4,0.05,0.020538,0
randomcircuit_8,4,0.07,0.028015,0
randomcircuit_8,4,0.1,0.04187,0
randomcircuit_8,4,0.15,0.065308,0
randomcircuit_8,4,0.2,0.089874,1
randomcircuit_8,4,0.3,0.143799,1
randomcircuit_8,4,0.5,0.266968,1
rg_qft_multiplier_12,354,0.0,0.0,0
rg_qft_multiplier_12,354,0.01,0.179688,1
rg_qft_multiplier_12,354,0.02,0.549713,1
rg_qft_multiplier_12,354,0.03,0.842285,1
rg_qft_multiplier_12,354,0.05,0.997314,1
rg_qft_multiplier_12,354,0.07,1.0,1
rg_qft_multiplier_12,354,0.1,1.0,1
rg_qft_multiplier_12,354,0.15,0.704346,1
rg_qft_multiplier_12,354,0.2,0.730957,1
rg_qft_multiplier_12,354,0.3,0.996307,1
rg_qft_multiplier_12,354,0.5,0.673859,1
rg_qft_multiplier_4,14,0.0,0.0,0
rg_qft_multiplier_4,14,0.01,0.000946,0
rg_qft_multiplier_4,14,0.02,0.003174,1
rg_qft_multiplier_4,14,0.03,0.006866,1
rg_qft_multiplier_4,14,0.05,0.020294,1
rg_qft_multiplier_4,14,0.07,0.038666,1
rg_qft_multiplier_4,14,0.1,0.077789,1
rg_qft_multiplier_4,14,0.15,0.169067,1
rg_qft_multiplier_4,14,0.2,0.281586,1
rg_qft_multiplier_4,14,0.3,0.537598,1
rg_qft_multiplier_4,14,0.5,0.916718,1
rg_qft_multiplier_8,108,0.0,0.0,0
rg_qft_multiplier_8,108,0.01,0.025513,1
rg_qft_multiplier_8,108,0.02,0.097321,1
rg_qft_multiplier_8,108,0.03,0.210236,1
rg_qft_multiplier_8,108,0.05,0.483124,1
rg_qft_multiplier_8,108,0.07,0.73584,1
rg_qft_multiplier_8,108,0.1,0.945709,1
rg_qft_multiplier_8,108,0.15,0.999664,1
rg_qft_multiplier_8,108,0.2,1.0,1
rg_qft_multiplier_8,108,0.3,0.914276,1
rg_qft_multiplier_8,108,0.5,0.96701,1
vbe_ripple_carry_adder_10,70,0.0,0.0,0
vbe_ripple_carry_adder_10,70,0.01,0.00769,1
vbe_ripple_carry_adder_10,70,0.02,0.03183,1
vbe_ripple_carry_adder_10,70,0.03,0.069977,1
vbe_ripple_carry_adder_10,70,0.05,0.183868,1
vbe_ripple_carry_adder_10,70,0.07,0.328125,1
vbe_ripple_carry_adder_10,70,0.1,0.561462,1
vbe_ripple_carry_adder_10,70,0.15,0.85495,1
vbe_ripple_carry_adder_10,70,0.2,0.97345,1
vbe_ripple_carry_adder_10,70,0.3,1.0,1
vbe_ripple_carry_adder_10,70,0.5,0.999847,1
vbe_ripple_carry_adder_4,14,0.0,0.0,0
vbe_ripple_carry_adder_4,14,0.01,0.00174,1
vbe_ripple_carry_adder_4,14,0.02,0.006104,1
vbe_ripple_carry_adder_4,14,0.03,0.014618,1
vbe_ripple_carry_adder_4,14,0.05,0.039703,1
vbe_ripple_carry_adder_4,14,0.07,0.076996,1
vbe_ripple_carry_adder_4,14,0.1,0.153107,1
vbe_ripple_carry_adder_4,14,0.15,0.319336,1
vbe_ripple_carry_adder_4,14,0.2,0.516266,1
vbe_ripple_carry_adder_4,14,0.3,0.871338,1
vbe_ripple_carry_adder_4,14,0.5,0.828125,1
vqe_real_amp_10,40,0.0,0.0,0
vqe_real_amp_10,40,0.01,0.05661,0
vqe_real_amp_10,40,0.02,0.07373,1
vqe_real_amp_10,40,0.03,0.092072,1
vqe_real_amp_10,40,0.05,0.119171,1
vqe_real_amp_10,40,0.07,0.153778,1
vqe_real_amp_10,40,0.1,0.206635,1
vqe_real_amp_10,40,0.15,0.291901,1
vqe_real_amp_10,40,0.2,0.366638,1
vqe_real_amp_10,40,0.3,0.500458,1
vqe_real_amp_10,40,0.5,0.683014,1
vqe_real_amp_12,48,0.0,0.0,0
vqe_real_amp_12,48,0.01,0.098114,1
vqe_real_amp_12,48,0.02,0.113281,1
vqe_real_amp_12,48,0.03,0.129578,1
vqe_real_amp_12,48,0.05,0.165558,1
vqe_real_amp_12,48,0.07,0.208893,1
vqe_real_amp_12,48,0.1,0.27182,1
vqe_real_amp_12,48,0.15,0.378052,1
vqe_real_amp_12,48,0.2,0.475128,1
vqe_real_amp_12,48,0.3,0.622253,1
vqe_real_amp_12,48,0.5,0.797058,1
vqe_real_amp_2,8,0.0,0.0,0
vqe_real_amp_2,8,0.01,0.005127,0
vqe_real_amp_2,8,0.02,0.011444,0
vqe_real_amp_2,8,0.03,0.016907,1
vqe_real_amp_2,8,0.05,0.028534,1
vqe_real_amp_2,8,0.07,0.0401,1
vqe_real_amp_2,8,0.1,0.06015,1
vqe_real_amp_2,8,0.15,0.104767,1
vqe_real_amp_2,8,0.2,0.155975,1
vqe_real_amp_2,8,0.3,0.272064,1
vqe_real_amp_2,8,0.5,0.49231,1
vqe_real_amp_3,12,0.0,0.0,0
vqe_real_amp_3,12,0.01,0.006775,0
vqe_real_amp_3,12,0.02,0.013367,0
vqe_real_amp_3,12,0.03,0.019623,0
vqe_real_amp_3,12,0.05,0.030518,0
vqe_real_amp_3,12,0.07,0.042816,1
vqe_real_amp_3,12,0.1,0.058655,1
vqe_real_amp_3,12,0.15,0.08371,1
vqe_real_amp_3,12,0.2,0.107697,1
vqe_real_amp_3,12,0.3,0.14856,1
vqe_real_amp_3,12,0.5,0.217682,1
vqe_real_amp_4,16,0.0,0.0,0
vqe_real_amp_4,16,0.01,0.018616,0
vqe_real_amp_4,16,0.02,0.034454,0
vqe_real_amp_4,16,0.03,0.050323,0
vqe_real_amp_4,16,0.05,0.084015,1
vqe_real_amp_4,16,0.07,0.119446,1
vqe_real_amp_4,16,0.1,0.171936,1
vqe_real_amp_4,16,0.15,0.256592,1
vqe_real_amp_4,16,0.2,0.331451,1
vqe_real_amp_4,16,0.3,0.459747,1
vqe_real_amp_4,16,0.5,0.587158,1
vqe_real_amp_5,20,0.0,0.0,0
vqe_real_amp_5,20,0.01,0.016022,0
vqe_real_amp_5,20,0.02,0.029358,0
vqe_real_amp_5,20,0.03,0.043427,0
vqe_real_amp_5,20,0.05,0.068024,1
vqe_real_amp_5,20,0.07,0.094055,1
vqe_real_amp_5,20,0.1,0.134216,1
vqe_real_amp_5,20,0.15,0.194855,1
vqe_real_amp_5,20,0.2,0.257538,1
vqe_real_amp_5,20,0.3,0.36554,1
vqe_real_amp_5,20,0.5,0.584686,1
vqe_real_amp_6,24,0.0,0.0,0
vqe_real_amp_6,24,0.01,0.021301,0
vqe_real_amp_6,24,0.02,0.039825,0
vqe_real_amp_6,24,0.03,0.059509,0
vqe_real_amp_6,24,0.05,0.093994,0
vqe_real_amp_6,24,0.07,0.127045,1
vqe_real_amp_6,24,0.1,0.17514,1
vqe_real_amp_6,24,0.15,0.250275,1
vqe_real_amp_6,24,0.2,0.322968,1
vqe_real_amp_6,24,0.3,0.441589,1
vqe_real_amp_6,24,0.5,0.614044,1
vqe_real_amp_8,32,0.0,0.0,0
vqe_real_amp_8,32,0.01,0.03125,0
vqe_real_amp_8,32,0.02,0.046692,0
vqe_real_amp_8,32,0.03,0.060699,0
vqe_real_amp_8,32,0.05,0.092102,1
vqe_real_amp_8,32,0.07,0.126007,1
vqe_real_amp_8,32,0.1,0.174042,1
vqe_real_amp_8,32,0.15,0.251648,1
vqe_real_amp_8,32,0.2,0.33136,1
vqe_real_amp_8,32,0.3,0.471313,1
vqe_real_amp_8,32,0.5,0.680817,1
vqe_su2_10,80,0.0,0.0,0
vqe_su2_10,80,0.01,0.068085,0
vqe_su2_10,80,0.02,0.089996,0
vqe_su2_10,80,0.03,0.103577,1
vqe_su2_10,80,0.05,0.136871,1
vqe_su2_10,80,0.07,0.178223,1
vqe_su2_10,80,0.1,0.235199,1
vqe_su2_10,80,0.15,0.329315,1
vqe_su2_10,80,0.2,0.406769,1
vqe_su2_10,80,0.3,0.513702,1
vqe_su2_10,80,0.5,0.620422,1
vqe_su2_12,96,0.0,0.0,0
vqe_su2_12,96,0.01,0.148346,1
vqe_su2_12,96,0.02,0.157013,1
vqe_su2_12,96,0.03,0.169006,1
vqe_su2_12,96,0.05,0.194275,1
vqe_su2_12,96,0.07,0.2276,1
vqe_su2_12,96,0.1,0.279572,1
vqe_su2_12,96,0.15,0.36557,1
vqe_su2_12,96,0.2,0.444092,1
vqe_su2_12,96,0.3,0.544556,1
vqe_su2_12,96,0.5,0.626862,1
vqe_su2_2,16,0.0,0.0,0
vqe_su2_2,16,0.01,0.007904,0
vqe_su2_2,16,0.02,0.016357,0
vqe_su2_2,16,0.03,0.0242,0
vqe_su2_2,16,0.05,0.040039,1
vqe_su2_2,16,0.07,0.057739,1
vqe_su2_2,16,0.1,0.083344,1
vqe_su2_2,16,0.15,0.126221,1
vqe_su2_2,16,0.2,0.166351,1
vqe_su2_2,16,0.3,0.239166,1
vqe_su2_2,16,0.5,0.340637,1
vqe_su2_3,24,0.0,0.0,0
vqe_su2_3,24,0.01,0.01709,0
vqe_su2_3,24,0.02,0.03302,0
vqe_su2_3,24,0.03,0.049103,1
vqe_su2_3,24,0.05,0.077393,1
vqe_su2_3,24,0.07,0.10498,1
vqe_su2_3,24,0.1,0.140808,1
vqe_su2_3,24,0.15,0.189575,1
vqe_su2_3,24,0.2,0.227264,1
vqe_su2_3,24,0.3,0.267914,1
vqe_su2_3,24,0.5,0.353394,1
vqe_su2_4,32,0.0,0.0,0
vqe_su2_4,32,0.01,0.01178,0
vqe_su2_4,32,0.02,0.022461,0
vqe_su2_4,32,0.03,0.032898,0
vqe_su2_4,32,0.05,0.053894,0
vqe_su2_4,32,0.07,0.07312,1
vqe_su2_4,32,0.1,0.103577,1
vqe_su2_4,32,0.15,0.1633,1
vqe_su2_4,32,0.2,0.222351,1
vqe_su2_4,32,0.3,0.318939,1
vqe_su2_4,32,0.5,0.509918,1
vqe_su2_5,40,0.0,0.0,0
vqe_su2_5,40,0.01,0.019592,0
vqe_su2_5,40,0.02,0.039062,0
vqe_su2_5,40,0.03,0.054688,0
vqe_su2_5,40,0.05,0.088287,1
vqe_su2_5,40,0.07,0.121857,1
vqe_su2_5,40,0.1,0.173553,1
vqe_su2_5,40,0.15,0.246552,1
vqe_su2_5,40,0.2,0.300812,1
vqe_su2_5,40,0.3,0.380005,1
vqe_su2_5,40,0.5,0.538788,1
vqe_su2_6,48,0.0,0.0,0
vqe_su2_6,48,0.01,0.017212,0
vqe_su2_6,48,0.02,0.030853,0
vqe_su2_6,48,0.03,0.044769,0
vqe_su2_6,48,0.05,0.070374,0
vqe_su2_6,48,0.07,0.100159,1
vqe_su2_6,48,0.1,0.136169,1
vqe_su2_6,48,0.15,0.191925,1
vqe_su2_6,48,0.2,0.234314,1
vqe_su2_6,48,0.3,0.307007,1
vqe_su2_6,48,0.5,0.422516,1
vqe_su2_8,64,0.0,0.0,0
vqe_su2_8,64,0.01,0.035065,0
vqe_su2_8,64,0.02,0.052429,0
vqe_su2_8,64,0.03,0.06485,0
vqe_su2_8,64,0.05,0.095703,0
vqe_su2_8,64,0.07,0.127899,0
vqe_su2_8,64,0.1,0.173004,1
vqe_su2_8,64,0.15,0.24292,1
vqe_su2_8,64,0.2,0.306488,1
vqe_su2_8,64,0.3,0.406036,1
vqe_su2_8,64,0.5,0.499451,1
vqe_two_local_10,40,0.0,0.0,0
vqe_two_local_10,40,0.01,0.05661,0
vqe_two_local_10,40,0.02,0.07373,1
vqe_two_local_10,40,0.03,0.092072,1
vqe_two_local_10,40,0.05,0.119171,1
vqe_two_local_10,40,0.07,0.153778,1
vqe_two_local_10,40,0.1,0.206635,1
vqe_two_local_10,40,0.15,0.291901,1
vqe_two_local_10,40,0.2,0.366638,1
vqe_two_local_10,40,0.3,0.500458,1
vqe_two_local_10,40,0.5,0.683014,1
vqe_two_local_12,48,0.0,0.0,0
vqe_two_local_12,48,0.01,0.098114,1
vqe_two_local_12,48,0.02,0.113281,1
vqe_two_local_12,48,0.03,0.129578,1
vqe_two_local_12,48,0.05,0.165558,1
vqe_two_local_12,48,0.07,0.208893,1
vqe_two_local_12,48,0.1,0.27182,1
vqe_two_local_12,48,0.15,0.378052,1
vqe_two_local_12,48,0.2,0.475128,1
vqe_two_local_12,48,0.3,0.622253,1
vqe_two_local_12,48,0.5,0.797058,1
vqe_two_local_2,8,0.0,0.0,0
vqe_two_local_2,8,0.01,0.005127,0
vqe_two_local_2,8,0.02,0.011444,0
vqe_two_local_2,8,0.03,0.016907,1
vqe_two_local_2,8,0.05,0.028534,1
vqe_two_local_2,8,0.07,0.0401,1
vqe_two_local_2,8,0.1,0.06015,1
vqe_two_local_2,8,0.15,0.104767,1
vqe_two_local_2,8,0.2,0.155975,1
vqe_two_local_2,8,0.3,0.272064,1
vqe_two_local_2,8,0.5,0.49231,1
vqe_two_local_3,12,0.0,0.0,0
vqe_two_local_3,12,0.01,0.006775,0
vqe_two_local_3,12,0.02,0.013367,0
vqe_two_local_3,12,0.03,0.019623,0
vqe_two_local_3,12,0.05,0.030518,0
vqe_two_local_3,12,0.07,0.042816,1
vqe_two_local_3,12,0.1,0.058655,1
vqe_two_local_3,12,0.15,0.08371,1
vqe_two_local_3,12,0.2,0.107697,1
vqe_two_local_3,12,0.3,0.14856,1
vqe_two_local_3,12,0.5,0.217682,1
vqe_two_local_4,16,0.0,0.0,0
vqe_two_local_4,16,0.01,0.018616,0
vqe_two_local_4,16,0.02,0.034454,0
vqe_two_local_4,16,0.03,0.050323,0
vqe_two_local_4,16,0.05,0.084015,1
vqe_two_local_4,16,0.07,0.119446,1
vqe_two_local_4,16,0.1,0.171936,1
vqe_two_local_4,16,0.15,0.256592,1
vqe_two_local_4,16,0.2,0.331451,1
vqe_two_local_4,16,0.3,0.459747,1
vqe_two_local_4,16,0.5,0.587158,1
vqe_two_local_5,20,0.0,0.0,0
vqe_two_local_5,20,0.01,0.016022,0
vqe_two_local_5,20,0.02,0.029358,0
vqe_two_local_5,20,0.03,0.043427,0
vqe_two_local_5,20,0.05,0.068024,1
vqe_two_local_5,20,0.07,0.094055,1
vqe_two_local_5,20,0.1,0.134216,1
vqe_two_local_5,20,0.15,0.194855,1
vqe_two_local_5,20,0.2,0.257538,1
vqe_two_local_5,20,0.3,0.36554,1
vqe_two_local_5,20,0.5,0.584686,1
vqe_two_local_6,24,0.0,0.0,0
vqe_two_local_6,24,0.01,0.021301,0
vqe_two_local_6,24,0.02,0.039825,0
vqe_two_local_6,24,0.03,0.059509,0
vqe_two_local_6,24,0.05,0.093994,0
vqe_two_local_6,24,0.07,0.127045,1
vqe_two_local_6,24,0.1,0.17514,1
vqe_two_local_6,24,0.15,0.250275,1
vqe_two_local_6,24,0.2,0.322968,1
vqe_two_local_6,24,0.3,0.441589,1
vqe_two_local_6,24,0.5,0.614044,1
vqe_two_local_8,32,0.0,0.0,0
vqe_two_local_8,32,0.01,0.03125,0
vqe_two_local_8,32,0.02,0.046692,0
vqe_two_local_8,32,0.03,0.060699,0
vqe_two_local_8,32,0.05,0.092102,1
vqe_two_local_8,32,0.07,0.126007,1
vqe_two_local_8,32,0.1,0.174042,1
vqe_two_local_8,32,0.15,0.251648,1
vqe_two_local_8,32,0.2,0.33136,1
vqe_two_local_8,32,0.3,0.471313,1
vqe_two_local_8,32,0.5,0.680817,1
wstate_10,18,0.0,0.0,0
wstate_10,18,0.01,0.000244,0
wstate_10,18,0.02,0.001617,0
wstate_10,18,0.03,0.003448,0
wstate_10,18,0.05,0.009277,0
wstate_10,18,0.07,0.01767,1
wstate_10,18,0.1,0.035126,1
wstate_10,18,0.15,0.078369,1
wstate_10,18,0.2,0.13092,1
wstate_10,18,0.3,0.257812,1
wstate_10,18,0.5,0.502502,1
wstate_12,22,0.0,0.0,0
wstate_12,22,0.01,0.000397,0
wstate_12,22,0.02,0.001801,0
wstate_12,22,0.03,0.004364,0
wstate_12,22,0.05,0.011078,0
wstate_12,22,0.07,0.021027,1
wstate_12,22,0.1,0.043304,1
wstate_12,22,0.15,0.094696,1
wstate_12,22,0.2,0.15918,1
wstate_12,22,0.3,0.307648,1
wstate_12,22,0.5,0.575134,1
wstate_2,2,0.0,0.0,0
wstate_2,2,0.01,0.0,0
wstate_2,2,0.02,0.0,0
wstate_2,2,0.03,0.0,0
wstate_2,2,0.05,0.0,0
wstate_2,2,0.07,0.0,0
wstate_2,2,0.1,0.0,0
wstate_2,2,0.15,0.0,0
wstate_2,2,0.2,0.0,0
wstate_2,2,0.3,0.0,0
wstate_2,2,0.5,0.0,0
wstate_3,4,0.0,0.0,0
wstate_3,4,0.01,9.2e-05,0
wstate_3,4,0.02,0.000183,0
wstate_3,4,0.03,0.000397,0
wstate_3,4,0.05,0.001007,0
wstate_3,4,0.07,0.00174,0
wstate_3,4,0.1,0.003296,1
wstate_3,4,0.15,0.007019,1
wstate_3,4,0.2,0.013092,1
wstate_3,4,0.3,0.029419,1
wstate_3,4,0.5,0.077087,1
wstate_4,6,0.0,0.0,0
wstate_4,6,0.01,0.000122,0
wstate_4,6,0.02,0.000427,0
wstate_4,6,0.03,0.000854,0
wstate_4,6,0.05,0.001862,0
wstate_4,6,0.07,0.003601,0
wstate_4,6,0.1,0.006836,1
wstate_4,6,0.15,0.016571,1
wstate_4,6,0.2,0.029297,1
wstate_4,6,0.3,0.062622,1
wstate_4,6,0.5,0.157684,1
wstate_5,8,0.0,0.0,0
wstate_5,8,0.01,0.000153,0
wstate_5,8,0.02,0.000458,0
wstate_5,8,0.03,0.00116,0
wstate_5,8,0.05,0.002869,0
wstate_5,8,0.07,0.005524,0
wstate_5,8,0.1,0.011536,1
wstate_5,8,0.15,0.026428,1
wstate_5,8,0.2,0.046997,1
wstate_5,8,0.3,0.09906,1
wstate_5,8,0.5,0.234589,1
wstate_6,10,0.0,0.0,0
wstate_6,10,0.01,0.000122,0
wstate_6,10,0.02,0.000763,0
wstate_6,10,0.03,0.001648,0
wstate_6,10,0.05,0.004028,0
wstate_6,10,0.07,0.008026,1
wstate_6,10,0.1,0.015686,1
wstate_6,10,0.15,0.036774,1
wstate_6,10,0.2,0.062347,1
wstate_6,10,0.3,0.132324,1
wstate_6,10,0.5,0.304565,1
wstate_8,14,0.0,0.0,0
wstate_8,14,0.01,0.000275,0
wstate_8,14,0.02,0.00119,0
wstate_8,14,0.03,0.002136,0
wstate_8,14,0.05,0.006348,0
wstate_8,14,0.07,0.012299,1
wstate_8,14,0.1,0.025269,1
wstate_8,14,0.15,0.057617,1
wstate_8,14,0.2,0.097687,1
wstate_8,14,0.3,0.201538,1
wstate_8,14,0.5,0.421143,1
